Breast Cancer Type 1 Susceptibility Protein Measurement,Contralateral breast cancer,Tubular breast cancer,stage IIIA breast cancer,Locally advanced breast cancer,stage IIIB breast cancer,breast cancer diagnosis,estrogen receptor-positive breast cancer,bilateral breast cancer,stage IA breast cancer,progesterone receptor-negative breast cancer,Suspected breast cancer,progesterone receptor-positive breast cancer,Mucinous breast cancer,Lumpectomy (breast cancer),"cellular diagnosis, breast cancer",Family history of breast cancer,HER2-negative breast cancer,contralateral breast cancer,Breast Cancer Model,breast cancer prevention,Breast Cancer Surveillance Consortium,hormone receptor/growth factor receptor-negative breast cancer,allogeneic GM-CSF-secreting breast cancer vaccine,Breast cancer metastatic,Invasive ductal breast cancer,estrogen receptor-negative breast cancer,"stage, breast cancer",Breast Cancer Radiotherapy,Breast cancer invasive NOS,Advanced breast cancer diagnosis
,,,,Neoadjuvant Chemotherapy,,Specialty Group,GATA3 gene|GATA3,mass cystic,,,,,,,,,,,,,,,,,,,,,,
,,,,Neoadjuvant Chemotherapy,,Co-morbid conditions,ESR1 gene|ESR1,Macrophage Activation Syndrome,,,,,,,,,,,,,,,,,,,,,,
,,,,Mastectomy,,Clinic,cathepsin V,Proton Therapy,,,,,,,,,,,,,,,,,,,,,,
,,,,Mammaplasty,,Malignant neoplasm of breast,Tumor Suppressor Genes,Cancer-Predisposing Gene,,,,,,,,,,,,,,,,,,,,,,
,,,,Neoadjuvant Chemotherapy,,Health care facility,tamoxifen,Amyopathic dermatomyositis,,,,,,,,,,,,,,,,,,,,,,
,,,,Neoadjuvant Chemotherapy,,Therapeutic procedure,"CD69 protein, human|CD69",Drug Tapering,,,,,,,,,,,,,,,,,,,,,,
,,,,Neoadjuvant Therapy,,Ambulatory Care Facilities,Tumor Suppressor Genes,Breast-Conserving Surgery,,,,,,,,,,,,,,,,,,,,,,
,,,,IMPACT gene,,Diagnosis,cryptotanshinone,Breast-Conserving Surgery,,,,,,,,,,,,,,,,,,,,,,
,,,,Local advancement flap,,Assessment procedure,estrogens,Intraoperative Radiation Therapy,,,,,,,,,,,,,,,,,,,,,,
,,,,Neoadjuvant Chemotherapy,,Intervention regimes,Tissue specimen,Intraoperative Radiation Therapy,,,,,,,,,,,,,,,,,,,,,,
,,,,Reconstructive Surgical Procedures,,Computer Aided Detection Systems,everolimus,Administration procedure,,,,,,,,,,,,,,,,,,,,,,
,,,,Neoadjuvant Chemotherapy,,Fracture,Wild Type,Intraoperative Radiation Therapy,,,,,,,,,,,,,,,,,,,,,,
,,,,Mammaplasty,,Osteoporosis,lysine,"CD69 protein, human|CD69",,,,,,,,,,,,,,,,,,,,,,
,,,,Membrane Transport Proteins,,Liver,Proliferation (morphologic abnormality),Neoadjuvant Therapy,,,,,,,,,,,,,,,,,,,,,,
,,,,Patients,,Woman,Adjuvant Therapy,NODAL gene,,,,,,,,,,,,,,,,,,,,,,
,,,,Neoadjuvant Chemotherapy,,Mastectomy,Precision Medicine,,,,,,,,,,,,,,,,,,,,,,,
,,,,Neoadjuvant Chemotherapy,,Second Primary Cancers,Lactates,,,,,,,,,,,,,,,,,,,,,,,
,,,,Operative Surgical Procedures,,Diet good,Neoplasms,,,,,,,,,,,,,,,,,,,,,,,
,,,,SLC12A1 gene|SLC12A1,,Intervention regimes,Ovarian ablation,,,,,,,,,,,,,,,,,,,,,,,
,,,,Oncoplastic Partial Mastectomy/Lumpectomy with Oncoplastic Closure,,Magnetic Resonance Imaging,Cannabinoids,,,,,,,,,,,,,,,,,,,,,,,
,,,,Neoadjuvant Chemotherapy,,Noninfiltrating Intraductal Carcinoma,fulvestrant,,,,,,,,,,,,,,,,,,,,,,,
,,,,Breast-Conserving Surgery,,Patients,Immunologic Adjuvants,,,,,,,,,,,,,,,,,,,,,,,
,,,,Neoadjuvant Chemotherapy,,Malignant Neoplasms,fulvestrant,,,,,,,,,,,,,,,,,,,,,,,
,,,,Neoadjuvant Therapy,,Pharmacotherapy,Neoadjuvant Chemotherapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,Neoadjuvant Chemotherapy,,Diagnosis,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,Volumetric-Modulated Arc Therapy,,Specialty Group,Neoadjuvant Chemotherapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,IMPACT gene,,Probes,fulvestrant,,,,,,,,,,,,,,,,,,,,,,,
,,,,Neoadjuvant Chemotherapy,,Nipple discharge NOS,Immunohistochemistry,,,,,,,,,,,,,,,,,,,,,,,
,,,,Partial Breast Irradiation,,Pharmacotherapy,inhibitors,,,,,,,,,,,,,,,,,,,,,,,
,,,,Breast-Conserving Surgery,,Odds Ratio,Neoadjuvant Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,Neoadjuvant Chemotherapy,,Therapeutic procedure,inhibitors,,,,,,,,,,,,,,,,,,,,,,,
,,,,Neoadjuvant Chemotherapy,,Radiation therapy,Neoadjuvant Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hypofractionated radiation therapy,,Psychotherapy,Systemic Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Radiotherapy, Adjuvant",,follow-up,Neoadjuvant Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,Neoadjuvant Chemotherapy,,Operative Surgical Procedures,Neoadjuvant Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,Neoadjuvant Radiotherapy,,Hormone replacement therapy,Malignant neoplasm of breast,,,,,,,,,,,,,,,,,,,,,,,
,,,,Scintimammography,,Woman,sunitinib,,,,,,,,,,,,,,,,,,,,,,,
,,,,Neoadjuvant Chemotherapy,,Therapeutic procedure,fulvestrant,,,,,,,,,,,,,,,,,,,,,,,
,,,,cadexomer iodine,,Psychotherapy,Systemic Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,Neoadjuvant Chemotherapy,,Screening procedure,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ki67 Measurement,,Death (finding),SEMA7A gene|SEMA7A,,,,,,,,,,,,,,,,,,,,,,,
,,,,Neoadjuvant Chemotherapy,,Pharmacotherapy,Estrogen Receptor Inhibitor [EPC],,,,,,,,,,,,,,,,,,,,,,,
,,,,Intravenous chemotherapy,,Breast neoplasm screening,inhibitors,,,,,,,,,,,,,,,,,,,,,,,
,,,,FDG-Positron Emission Tomography,,Screening procedure,Adjuvant Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,PET/CT scan,,Malignant Neoplasms,Invasive Carcinoma,,,,,,,,,,,,,,,,,,,,,,,
,,,,Pneumocystis jiroveci pneumonia,,Malignant neoplasm of breast,SEMA7A gene|SEMA7A,,,,,,,,,,,,,,,,,,,,,,,
,,,,prednisolone,,Breast cancer metastatic,sanguinarine,,,,,,,,,,,,,,,,,,,,,,,
,,,,CDKN2A gene|CDKN2A,,Diagnosis,Flap Endonuclease-1,,,,,,,,,,,,,,,,,,,,,,,
,,,,letrozole,,Ultrasonography,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mastectomy,,follow-up,Anthracycline Antibiotics,,,,,,,,,,,,,,,,,,,,,,,
,,,,Breast-Conserving Surgery,,"Endometriosis, site unspecified",doxorubicin,,,,,,,,,,,,,,,,,,,,,,,
,,,,Neoadjuvant Chemoradiotherapy,,thermography,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,Neoadjuvant Therapy,,Mammography,Immunologic Adjuvants,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fertility,chrysoeriol,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Consultation,"Radiosurgery, Stereotactic",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Emotional support,ponatinib,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Preventive Intervention,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mass Fragmentography,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Adenocarcinoma,apigenin,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Woman,Adjuvant Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Health System,Secondary Neoplasm,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Cancer Center,Biological Factors,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Disease,Neoadjuvant Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Indicators,CREB-binding protein|CREB1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Biopsy,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,adenoma,Estrogen Receptors,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diagnosis,Advanced Breast Carcinoma,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Therapeutic procedure,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Bariatric Surgery,Basis,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Multiple Sclerosis,MRTFA gene|MKL1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Tissue specimen,STAT3 gene|STAT3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Hospitals,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Early Diagnosis,Estrogen Receptor alpha,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Immunohistochemistry,Screening for cancer,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,follow-up,Immunologic Surveillance,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Radiation therapy,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Ultrasonography,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diagnosis,CYP2D6 gene|CYP2D6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Neuroendocrine Tumors,SLC5A1 gene|SLC5A1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mammography,"EPHB2 protein, human|EPHB2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Malignant neoplasm of prostate,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Imaging Device,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Patients,DUXAP8 gene|DUXAP8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Woman,estrogens,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Male population group,FOXD2-AS1 gene|FOXD2-AS1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Male population group,Pharmacotherapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Operative Surgical Procedures,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mass Fragmentography,Operative Surgical Procedures,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Lung nodule,CDK4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Malignant Neoplasms,IMPACT gene,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Supplementation,late endosome,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Endocrine therapy,Alpha tumour necrosis factor measurement,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Counseling,antagonists,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Brain Neoplasms,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Carrier of disorder,HOXA5 gene|HOXA5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Computer Aided Detection Systems,Agent,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Woman,NUAK2 gene|NUAK2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MASS LESION,removal technique,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Cardiovascular Diseases,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Screening procedure,Adjuvant Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,advanced disease,LLGL2 gene|LLGL2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Cancer Control,EP300 gene|EP300,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Malignant neoplasm of breast,NR4A1 gene|NR4A1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diagnosis,OTUD7B gene|OTUD7B,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Pharmacotherapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Malignant neoplasm of breast,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CYP2D6 gene|CYP2D6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Pharmaceutical Preparations,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Chemotherapy, Adjuvant",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,toremifene,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FGFR1 wt Allele|FGFR1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Biological Response Modifiers,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Patients,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sentinel Lymph Node Biopsy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Neoadjuvant Chemotherapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,LINC00963 gene|LINC00963,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,NR4A1 gene|NR4A1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Estrogen Receptor alpha,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,exemestane,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,BCL2 gene|BCL2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Discoidin Domain Receptor 1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CD163,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Alpha tumour necrosis factor measurement,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FGFR1 wt Allele|FGFR1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Breast-Conserving Surgery,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FGFR1 wt Allele|FGFR1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"EPHB2 protein, human|EPHB2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Pharmacotherapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Estrogen Antagonists,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Laboratory Procedures,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Gene Mutant,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,MAPT gene|MAPT,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Body tissue,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Neoadjuvant Chemotherapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"MEN1 protein, human|MEN1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Adjuvant Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"estrogen receptor alpha, human",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Estrogen Receptors,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,cyclophosphamide,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Crotoxin,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Body tissue,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,letrozole,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,erbB-2 Receptor|ERBB2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Crotoxin,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Infiltration,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,letrozole,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Poly(ADP-ribose) Polymerase Inhibitors,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Estrogen Receptor alpha,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Neoadjuvant Chemotherapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CDKN2A gene|CDKN2A,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Treatment Protocols,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,fulvestrant,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,cyclophosphamide,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Breast-Conserving Surgery,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Carcinogens,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,First line treatment,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Therapeutic procedure,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hypermethylation,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,STARD3 gene|STARD3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,WEE1 gene|WEE1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,alpelisib,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Transformation, function",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,fluorouracil,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Pharmacotherapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Pharmacotherapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,TALDO1 gene|TALDO1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,New medications,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Cancer-Predisposing Gene,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,epirubicin,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Estrogen Receptor Inhibitor [EPC],,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Patients,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Cerebrovascular accident,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Estrogen Receptor alpha,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Coronary Arteriosclerosis,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Receptors, Progesterone",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,abemaciclib,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,XK gene|XK,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Histone Deacetylase,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Parity,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Neoadjuvant Chemotherapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Uveal melanoma,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,IMPACT gene,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SLC39A6 gene|SLC39A6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,LLGL2 gene|LLGL2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Magnetic Resonance Imaging,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Decreased drug resistance,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Polymerase chain reaction analysis,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Postoperative chemotherapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CDKN2A gene|CDKN2A,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,cytotoxicity,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Diabetes Mellitus, Non-Insulin-Dependent",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,synaptotagmin XIII,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,HSD3B1 gene|HSD3B1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SLC39A6 gene|SLC39A6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Assay,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CDKN2A gene|CDKN2A,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Malignant neoplasm of breast,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,thymidine kinase 1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,estrogens,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"HGS protein, human|HGS",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Agent,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,fulvestrant,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,COVID-19,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Therapeutic procedure,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Immune Checkpoint Proteins,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Infiltration,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Neoadjuvant Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Immunologic Adjuvants,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Estrogen Receptor alpha,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,IMPACT gene,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Large Neutral Amino Acid-Transporter 1|SLC7A5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Steroidal estrogen preparation,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Selective Estrogen Receptor Down Regulator,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Poly(ADP-ribose) Polymerase Inhibitors,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,HSF1 gene|HSF1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,isoeugenol,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,estrogens,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Psychotherapy, Multiple",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Genes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Antineoplastic Agents,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Triglycerides,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,sphingosine 1-phosphate,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,exemestane,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"FRAP1 protein, human|MTOR",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,exemestane,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Malignant neoplasm of stomach,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Oxidoreductase,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Detection,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,taxane,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tumor Suppressor Genes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Disease,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Apoptosis Inhibiting Proteins,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,taxane,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,exemestane,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Selective Estrogen Receptor Modulators,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Treatment Protocols,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Targeted Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PET/CT scan,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CDC42,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,fatostatin,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,hepatitis B virus X protein,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ovarian ablation,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,mRNA editing,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Aromatase Inhibitors,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,TP53,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elacestrant,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tumor Promoters,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Malignant Neoplasms,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,MED1 gene|MED1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Neoplasms,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,exemestane,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,hepatitis B virus X protein,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B-Cell Leukemia 2 Family Proteins,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,fluorouracil,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Parity,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Body tissue,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CDK7 gene|CDK7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Pharmaceutical Preparations,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,quiescence,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,biochanin A,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,TP53,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CDK7 gene|CDK7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Duration,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,antagonists,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Androgen Receptor,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FDG-Positron Emission Tomography and Computed Tomography Scan,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,MDM2 gene|MDM2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Poly(ADP-ribose) Polymerase Inhibitors,,,,,,,,,,,,,,,,,,,,,,,
